                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1322,                  2.443,                 2.5591,                0.30402,                0.37722,                0.25439,                0.09094,                 2.2421,                 2.7628,                 2.7801,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.1571,                 2.4374,                 2.5707,                0.24133,                0.29494,                0.18601,                0.06149,                 2.2886,                 2.6372,                 2.8344,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.1502,                 2.4115,                 2.5554,                0.40873,                0.36076,                0.34836,                0.13805,                 2.1256,                 2.3998,                 2.6113,               0.001307,               0.001307,               0.001307
                     38,                 2.1386,                 2.3718,                 2.5274,                0.31985,                0.37722,                0.29134,                0.10616,                 2.2129,                 2.5239,                 2.6673,              0.0012872,              0.0012872,              0.0012872
                     39,                  2.096,                 2.3645,                  2.494,                0.34675,                0.36076,                0.33784,                 0.1299,                 2.1715,                 2.4903,                 2.6487,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.0854,                 2.3422,                 2.4904,                0.41096,                0.38327,                0.35325,                0.14667,                 2.1142,                  2.327,                 2.6242,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.0537,                  2.367,                 2.4561,                0.29518,                0.31519,                0.20494,                0.06819,                 2.2275,                 2.5517,                 2.7137,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0634,                 2.3005,                 2.4594,                0.37034,                0.39747,                0.32155,                0.12513,                 2.1238,                 2.5325,                 2.5902,               0.001208,               0.001208,               0.001208
                     43,                  2.069,                 2.2955,                 2.4631,                0.41094,                0.42658,                0.38482,                 0.1573,                 2.0583,                 2.4144,                 2.5135,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.0165,                 2.2667,                 2.3932,                 0.3628,                0.41013,                0.29393,                0.11043,                 2.1188,                 2.3904,                 2.5678,              0.0011684,              0.0011684,              0.0011684
